trait,avg_rating,rank,rating_sd,number_ratings,character
main character (not side character),94.2,93,7.6,18,Jon Snow
winter (not summer),93.4,5,16.1,39,Jon Snow
persistent (not quitter),93.2,143,10.5,59,Jon Snow
dramatic (not comedic),91.4,11,10.1,26,Jon Snow
diligent (not lazy),91.2,225,14.4,277,Jon Snow
devoted (not unfaithful),91.1,130,10.9,35,Jon Snow
heroic (not villainous),90.5,97,13.7,256,Jon Snow
honorable (not cunning),90.1,16,14.2,306,Jon Snow
loyal (not traitorous),88.8,321,18.6,273,Jon Snow
reserved (not chatty),88.4,63,14.3,265,Jon Snow
🤺 (not 🏌),88.1,97,18.8,49,Jon Snow
important (not irrelevant),87.7,254,20.1,95,Jon Snow
genuine (not sarcastic),87.6,52,16.9,273,Jon Snow
protagonist (not antagonist),87.2,124,20.6,53,Jon Snow
egalitarian (not racist),87.1,281,13.5,58,Jon Snow
attractive (not repulsive),87,240,16.5,273,Jon Snow
workaholic (not slacker),86.8,314,17.9,97,Jon Snow
beautiful (not ugly),86.1,477,20.2,109,Jon Snow
serious (not playful),86,152,16.9,243,Jon Snow
respectful (not rude),86,119,17,272,Jon Snow
altruistic (not selfish),85.8,79,16.3,298,Jon Snow
frugal (not lavish),85.7,21,18.1,241,Jon Snow
kind (not cruel),85.7,297,13.9,285,Jon Snow
active (not slothful),85.7,287,20.2,255,Jon Snow
tense (not relaxed),85.2,228,16.5,289,Jon Snow
🧗 (not 🛌),85.2,186,24,84,Jon Snow
works hard (not plays hard),85.1,147,21.4,295,Jon Snow
sorrowful (not cheery),85.1,67,15.5,264,Jon Snow
gloomy (not sunny),85,99,16.3,28,Jon Snow
badass (not weakass),84.6,427,21.3,39,Jon Snow
confidential (not gossiping),84.5,232,20.3,276,Jon Snow
blacksmith (not tailor),84.2,33,15.2,31,Jon Snow
soulful (not soulless),83.9,331,22.8,82,Jon Snow
modest (not flamboyant),83.6,73,21.8,280,Jon Snow
love-focused (not money-focused),83.6,341,21.1,46,Jon Snow
dog person (not cat person),83.3,81,30.3,44,Jon Snow
go-getter (not slugabed),83.2,333,17.6,41,Jon Snow
straight (not queer),83,292,23.7,132,Jon Snow
slow-talking (not fast-talking),82.9,22,16.2,34,Jon Snow
rural (not urban),82.3,42,20,79,Jon Snow
motivated (not unmotivated),82.3,816,26.6,49,Jon Snow
empath (not psychopath),82.1,212,18,37,Jon Snow
English (not German),82,203,22.9,48,Jon Snow
generous (not stingy),81.9,170,18.1,41,Jon Snow
not genocidal (not genocidal),81.3,377,23.5,43,Jon Snow
brave (not careful),81.2,198,22.7,247,Jon Snow
🥾 (not 👟),81.2,140,24.6,50,Jon Snow
giving (not receiving),81.1,198,20.4,51,Jon Snow
sad (not happy),80.9,142,16.1,286,Jon Snow
legit (not scrub),80.6,305,20.7,87,Jon Snow
night owl (not morning lark),80.2,267,20.6,198,Jon Snow
masculine (not feminine),80.1,504,19.5,284,Jon Snow
wooden (not plastic),79.9,135,21.5,28,Jon Snow
disarming (not creepy),79.5,245,17.2,133,Jon Snow
doer (not thinker),79.5,219,24.7,31,Jon Snow
stoic (not expressive),79.3,105,23.6,267,Jon Snow
patriotic (not unpatriotic),79.2,241,26.7,54,Jon Snow
🌟 (not 💩),79.1,581,25.9,56,Jon Snow
self-disciplined (not disorganized),78.8,631,24.4,294,Jon Snow
reliable (not experimental),78.8,191,25,40,Jon Snow
mighty (not puny),78.7,413,20.8,267,Jon Snow
sturdy (not flimsy),78.7,374,21.5,39,Jon Snow
scruffy (not manicured),78.6,204,22.2,300,Jon Snow
👨‍🔧 (not 👨‍⚕️),78.5,249,18.4,44,Jon Snow
healthy (not sickly),78.2,438,22.2,310,Jon Snow
nurturing (not poisonous),78.2,361,19.7,140,Jon Snow
quiet (not loud),78.2,197,22.4,283,Jon Snow
sporty (not bookish),77.8,232,22.4,255,Jon Snow
gendered (not androgynous),77.7,758,27,137,Jon Snow
clean (not perverted),77.6,482,23.3,34,Jon Snow
indie (not pop),77.6,241,28.6,50,Jon Snow
🤠 (not 🤑),77.6,260,25.8,65,Jon Snow
one-faced (not two-faced),77.6,446,29.1,37,Jon Snow
outsider (not insider),77.4,130,26.4,224,Jon Snow
inspiring (not cringeworthy),77.4,254,24.4,81,Jon Snow
humble (not arrogant),77.2,199,23.1,268,Jon Snow
😇 (not 😈),77.2,270,20.3,56,Jon Snow
angelic (not demonic),77.1,307,19.4,286,Jon Snow
monochrome (not multicolored),77,163,27.3,83,Jon Snow
resourceful (not helpless),76.6,830,27,98,Jon Snow
private (not gregarious),76.6,328,23.3,276,Jon Snow
stoic (not hypochondriac),76.6,191,24.7,38,Jon Snow
guarded (not open),76.4,622,24.3,307,Jon Snow
utilitarian (not decorative),76.3,227,24.1,95,Jon Snow
rock (not rap),76.3,524,24.3,47,Jon Snow
white knight (not bad boy),76.3,372,24.2,44,Jon Snow
rugged (not refined),76,250,23.4,284,Jon Snow
feminist (not sexist),76,647,19.5,78,Jon Snow
😊 (not 🤣),76,284,23.1,63,Jon Snow
romantic (not dispassionate),75.7,484,23.2,44,Jon Snow
triggered (not trolling),75.7,153,21.6,47,Jon Snow
tight (not loose),75.4,423,26.5,29,Jon Snow
💀 (not 🎃),75.2,263,25.5,28,Jon Snow
pure (not debased),75.1,303,24.1,284,Jon Snow
competent (not incompetent),75,865,25.2,237,Jon Snow
complimentary (not insulting),74.8,311,21.8,71,Jon Snow
minimalist (not pack rat),74.8,144,27.7,52,Jon Snow
overachiever (not underachiever),74.8,773,28.1,35,Jon Snow
reasonable (not deranged),74.7,369,23.5,55,Jon Snow
introspective (not not introspective),74.6,326,26,86,Jon Snow
accepting (not judgemental),74.5,248,23,197,Jon Snow
low-tech (not high-tech),74.4,266,26.5,225,Jon Snow
🙋‍♂️ (not 🙅‍♂️),74.4,238,30.9,75,Jon Snow
driven (not unambitious),74.1,1121,29.8,248,Jon Snow
wholesome (not salacious),74,401,22.2,65,Jon Snow
🏀 (not 🎨),74,310,26.3,41,Jon Snow
miserable (not joyful),73.9,365,22.4,49,Jon Snow
charismatic (not uninspiring),73.9,761,26.6,236,Jon Snow
young (not old),73.8,661,23.5,281,Jon Snow
blue-collar (not ivory-tower),73.8,289,28.2,252,Jon Snow
sober (not indulgent),73.8,158,28.2,290,Jon Snow
purple (not orange),73.8,166,26.7,198,Jon Snow
democratic (not authoritarian),73.7,235,25.1,281,Jon Snow
studious (not goof-off),73.6,729,28.8,71,Jon Snow
haunted (not blissful),73.6,563,29.2,31,Jon Snow
spelunker (not claustrophobic),73.5,209,23.6,34,Jon Snow
opinionated (not jealous),73.3,600,26.2,52,Jon Snow
captain (not first-mate),73.1,493,31.8,304,Jon Snow
treasure (not trash),73.1,967,28.4,72,Jon Snow
humorless (not funny),73,184,23.5,278,Jon Snow
tasteful (not lewd),72.9,439,24.5,246,Jon Snow
reassuring (not fearmongering),72.9,377,28.2,32,Jon Snow
devout (not heathen),72.9,248,26.2,278,Jon Snow
country-bumpkin (not city-slicker),72.7,194,25.9,56,Jon Snow
🐘 (not 🐀),72.7,181,29.3,72,Jon Snow
sexual (not asexual),72.7,658,31.4,34,Jon Snow
pro (not noob),72.6,844,29.7,51,Jon Snow
coordinated (not clumsy),72.5,746,27.2,265,Jon Snow
prestigious (not disreputable),72.5,482,26.9,208,Jon Snow
human (not animalistic),72.4,777,24.9,247,Jon Snow
pointed (not random),72.2,781,26.7,32,Jon Snow
provincial (not cosmopolitan),71.9,161,30.5,265,Jon Snow
emotional (not unemotional),71.9,738,30.3,34,Jon Snow
extraordinary (not mundane),71.8,671,27.3,271,Jon Snow
compersive (not jealous),71.8,245,23.5,221,Jon Snow
attentive (not interrupting),71.8,341,27.9,30,Jon Snow
pensive (not serene),71.7,465,24,30,Jon Snow
trusting (not suspicious),71.6,256,28.7,249,Jon Snow
melee (not ranged),71.5,86,27.5,34,Jon Snow
straightforward (not cryptic),71.4,491,28.7,251,Jon Snow
🥰 (not 🙃),71.3,316,29,80,Jon Snow
transparent (not machiavellian),71.3,219,30.3,44,Jon Snow
low self esteem (not narcissistic),71.2,187,26,36,Jon Snow
proletariat (not bourgeoisie),71.2,290,28.1,257,Jon Snow
traumatized (not flourishing),71.1,568,27.9,47,Jon Snow
demure (not vain),70.9,241,26.2,256,Jon Snow
equitable (not hypocritical),70.9,345,29.4,120,Jon Snow
grateful (not entitled),70.8,357,28.3,38,Jon Snow
alpha (not beta),70.5,731,29.9,289,Jon Snow
tactful (not indiscreet),70.5,473,30,57,Jon Snow
introvert (not extrovert),70.4,282,25.2,273,Jon Snow
depressed (not bright),70.4,268,25.1,238,Jon Snow
stubborn (not accommodating),70.3,882,28.1,37,Jon Snow
still (not twitchy),70.1,206,30.5,29,Jon Snow
sane (not crazy),70,360,26,53,Jon Snow
involved (not remote),69.9,686,29.4,266,Jon Snow
💪 (not 🧠),69.4,243,24.4,59,Jon Snow
forgiving (not vengeful),69.1,485,25.7,276,Jon Snow
direct (not roundabout),69.1,776,29.8,261,Jon Snow
sensible (not ludicrous),69.1,566,28.6,294,Jon Snow
cooperative (not competitive),69,284,28,228,Jon Snow
rational (not whimsical),69,578,27.2,289,Jon Snow
shy (not playful),68.8,139,23.3,239,Jon Snow
literal (not metaphorical),68.8,421,29.4,287,Jon Snow
open-minded (not close-minded),68.7,556,26.3,290,Jon Snow
thrifty (not extravagant),68.7,364,29.7,32,Jon Snow
gullible (not cynical),68.7,249,24.8,42,Jon Snow
penny-pincher (not overspender),68.6,395,26.5,80,Jon Snow
earth (not air),68.6,491,31,41,Jon Snow
independent (not codependent),68.4,745,31.4,259,Jon Snow
resolute (not wavering),68.2,734,30.4,64,Jon Snow
practical (not imaginative),68,674,28.5,244,Jon Snow
prideful (not envious),68,837,27.3,44,Jon Snow
profound (not ironic),67.9,239,26,28,Jon Snow
crafty (not scholarly),67.7,649,25.4,259,Jon Snow
reclusive (not social),67.7,419,27.9,79,Jon Snow
👩‍🎤 (not 👩‍🔬),67.7,565,29.9,51,Jon Snow
intense (not lighthearted),67.7,859,31.2,38,Jon Snow
🐐 (not 🦒),67.6,442,32.7,72,Jon Snow
existentialist (not nihilist),67.6,387,27.8,88,Jon Snow
luddite (not technophile),67.5,293,26.7,233,Jon Snow
well behaved (not mischievous),67.4,409,29.1,277,Jon Snow
😏 (not 😬),67.4,506,33.2,65,Jon Snow
high standards (not desperate),67.4,651,31.5,36,Jon Snow
hunter (not gatherer),67.3,649,30.5,32,Jon Snow
jock (not nerd),67.1,447,25.4,263,Jon Snow
chosen one (not everyman),67.1,486,29.4,42,Jon Snow
chortling (not giggling),67,638,24.4,41,Jon Snow
emotional (not logical),66.8,564,28.8,273,Jon Snow
mature (not juvenile),66.8,662,28.5,100,Jon Snow
civilized (not barbaric),66.7,903,21.4,267,Jon Snow
concrete (not abstract),66.6,528,30.9,51,Jon Snow
resistant (not resigned),66.5,902,30.9,247,Jon Snow
child free (not pronatalist),66.4,693,30.9,228,Jon Snow
hurried (not leisurely),66.2,481,25.5,285,Jon Snow
vintage (not trendy),66.2,915,29.3,40,Jon Snow
monotone (not expressive),66.2,263,30.4,52,Jon Snow
punk rock (not preppy),66.1,483,29.6,41,Jon Snow
🐮 (not 🐷),66,331,26.9,81,Jon Snow
open to new experinces (not uncreative),65.9,994,30,275,Jon Snow
rustic (not cultured),65.7,289,30.2,33,Jon Snow
high IQ (not low IQ),65.6,1321,26.4,229,Jon Snow
deep (not shallow),65.6,745,29.7,76,Jon Snow
rough (not smooth),65.5,491,27,256,Jon Snow
adventurous (not stick-in-the-mud),65.5,766,29.3,245,Jon Snow
efficient (not overprepared),65.5,742,26.8,27,Jon Snow
vanilla (not kinky),65.4,499,31.6,284,Jon Snow
valedictorian (not drop out),65.2,958,34.1,52,Jon Snow
subdued (not exuberant),65.2,302,26.3,26,Jon Snow
masochistic (not pain-avoidant),65.1,359,28,35,Jon Snow
communal (not individualist),65,234,33.3,94,Jon Snow
bold (not shy),64.9,1366,28.5,265,Jon Snow
neurotypical (not autistic),64.9,1031,26.9,225,Jon Snow
street-smart (not sheltered),64.9,845,30.5,238,Jon Snow
chivalrous (not businesslike),64.7,494,34.6,35,Jon Snow
repetitive (not varied),64.6,507,28.3,150,Jon Snow
trusting (not charming),64.6,341,29.5,264,Jon Snow
real (not philosophical),64.4,756,30.4,224,Jon Snow
physical (not intellectual),64.3,411,25.5,278,Jon Snow
👽 (not 🤡),64.1,538,28.9,58,Jon Snow
explorer (not builder),64,598,32.2,277,Jon Snow
prudish (not flirtatious),64,428,27.7,41,Jon Snow
unassuming (not pretentious),63.8,346,30.4,53,Jon Snow
curious (not apathetic),63.7,981,28.5,257,Jon Snow
naive (not paranoid),63.7,293,27,39,Jon Snow
deliberate (not spontaneous),63.6,896,31.9,271,Jon Snow
🧕 (not 💃),63.6,246,34.6,83,Jon Snow
fresh (not stinky),63.6,1020,30.9,78,Jon Snow
perceptive (not unobservant),63.4,1367,32.4,40,Jon Snow
factual (not exaggerating),63.4,609,33,31,Jon Snow
empirical (not theoretical),63.2,400,28.9,239,Jon Snow
sheriff (not outlaw),63.1,656,29.1,275,Jon Snow
patient (not impatient),63.1,397,30.9,117,Jon Snow
cool (not dorky),63.1,742,30.5,50,Jon Snow
moist (not dry),63,433,34,24,Jon Snow
proper (not scandalous),62.9,649,30.3,242,Jon Snow
thick (not thin),62.7,431,23.2,226,Jon Snow
down2earth (not head@clouds),62.6,705,31.9,269,Jon Snow
🏋️‍♂️ (not 🚴),62.5,327,33.6,45,Jon Snow
historical (not modern),62.4,554,31.4,202,Jon Snow
believable (not poorly-written),62.4,1536,32.4,37,Jon Snow
distant (not touchy-feely),62.4,730,31,52,Jon Snow
interested (not bored),62.3,1105,34.3,32,Jon Snow
interesting (not tiresome),62.2,1109,30.8,272,Jon Snow
literary (not mathematical),62.1,788,28.9,216,Jon Snow
family-first (not work-first),62,714,32.8,294,Jon Snow
master (not apprentice),62,992,31.4,126,Jon Snow
lost (not enlightened),62,633,27.7,44,Jon Snow
timid (not cocky),62,264,25.1,41,Jon Snow
arcane (not mainstream),61.9,692,30.2,224,Jon Snow
Roman (not Greek),61.8,385,28.9,34,Jon Snow
muddy (not washed),61.8,395,26.9,53,Jon Snow
demanding (not unchallenging),61.7,1280,31,35,Jon Snow
loveable (not punchable),61.6,939,27.2,36,Jon Snow
deviant (not average),61.5,885,28.6,191,Jon Snow
monastic (not hedonist),61.5,315,29.7,36,Jon Snow
normie (not freak),61.5,511,27.1,34,Jon Snow
freelance (not corporate),61.4,878,37,30,Jon Snow
😭 (not 😀),61.2,557,32.2,52,Jon Snow
goth (not flower child),61.2,436,34.1,33,Jon Snow
permanent (not transient),61,662,33,128,Jon Snow
🧢 (not 🎩),61,679,33.2,44,Jon Snow
bashful (not exhibitionist),60.9,332,30.1,26,Jon Snow
chaste (not lustful),60.8,512,28.2,256,Jon Snow
🦇 (not 🐿),60.8,540,31.1,43,Jon Snow
liberal (not conservative),60.6,928,33.3,48,Jon Snow
charming (not awkward),60.4,973,30,296,Jon Snow
consistent (not variable),60.4,849,32.6,44,Jon Snow
fixable (not unfixable),60.3,878,31.2,37,Jon Snow
presidential (not folksy),60.2,798,31.6,33,Jon Snow
orderly (not chaotic),60.1,814,29.4,266,Jon Snow
realistic (not fantastical),60.1,861,28.8,21,Jon Snow
queen (not princess),60.1,966,34.5,46,Jon Snow
poor (not rich),59.9,568,28.3,232,Jon Snow
sensitive (not thick-skinned),59.9,604,28.3,254,Jon Snow
f***-the-police (not tattle-tale),59.9,1000,32.7,37,Jon Snow
mysterious (not unambiguous),59.8,629,32.8,273,Jon Snow
rebellious (not obedient),59.7,1014,30.8,280,Jon Snow
messy (not neat),59.7,544,26.8,204,Jon Snow
bad-cook (not good-cook),59.6,645,27.7,27,Jon Snow
rigid (not flexible),59.5,790,28.9,238,Jon Snow
innocent (not jaded),59.5,394,29.9,43,Jon Snow
🤔 (not 🤫),59.4,812,33.9,53,Jon Snow
