item,avg_rating,rank,rating_sd,number_ratings,character
disorganized (not self-disciplined),95.7,3,8.5,425,Homer Simpson
impulsive (not cautious),95.1,10,8.8,467,Homer Simpson
messy (not neat),94.8,4,8.1,311,Homer Simpson
🛌 (not 🧗),94.7,3,12.1,215,Homer Simpson
loud (not quiet),94.1,28,8.3,406,Homer Simpson
goof-off (not studious),94,9,12.7,146,Homer Simpson
lazy (not diligent),93.9,1,11,434,Homer Simpson
chaotic (not orderly),93.4,20,10.4,432,Homer Simpson
clumsy (not coordinated),93.4,2,10.9,444,Homer Simpson
cannibal (not vegan),93.4,7,11.1,50,Homer Simpson
spontaneous (not scheduled),93.3,30,11.8,430,Homer Simpson
oblivious (not alert),92.9,6,14.9,115,Homer Simpson
indulgent (not sober),92.4,16,15.2,425,Homer Simpson
slothful (not active),92.2,3,14.5,385,Homer Simpson
juvenile (not mature),91.9,18,8.9,94,Homer Simpson
foolish (not wise),91.8,6,13.3,500,Homer Simpson
slacker (not workaholic),91.4,13,13.8,92,Homer Simpson
thick (not thin),91.1,11,12.9,318,Homer Simpson
incompetent (not competent),91,3,14.9,366,Homer Simpson
ADHD (not OCD),91,11,15.5,48,Homer Simpson
unpolished (not eloquent),90.9,11,15.5,320,Homer Simpson
playful (not serious),90.9,33,11.5,430,Homer Simpson
tardy (not on-time),90.8,9,14.3,64,Homer Simpson
instinctual (not reasoned),90.7,4,14.2,434,Homer Simpson
😜 (not 🤐),90.6,57,13.6,114,Homer Simpson
emotional (not logical),90.4,32,13,433,Homer Simpson
exaggerating (not factual),90.3,39,14.5,58,Homer Simpson
spontaneous (not deliberate),90.2,13,16.1,395,Homer Simpson
🐒 (not 🐩),90.1,7,17.2,115,Homer Simpson
whimsical (not rational),90,17,13,428,Homer Simpson
playful (not shy),89.9,117,11.2,430,Homer Simpson
drop out (not valedictorian),89.8,18,17.9,131,Homer Simpson
ignorant (not knowledgeable),89.7,11,17.3,51,Homer Simpson
impatient (not patient),89.6,66,16.2,155,Homer Simpson
random (not pointed),89.5,8,16.6,59,Homer Simpson
cheesy (not chic),89.5,10,16.4,52,Homer Simpson
interrupting (not attentive),89.4,32,13.2,43,Homer Simpson
low IQ (not high IQ),89.3,4,16.4,367,Homer Simpson
slovenly (not stylish),88.8,16,15.8,375,Homer Simpson
slow (not fast),88.6,7,14.5,453,Homer Simpson
chatty (not reserved),88.5,130,13.8,436,Homer Simpson
plays hard (not works hard),88.4,26,16.2,430,Homer Simpson
mischievous (not well behaved),88.4,162,13.8,412,Homer Simpson
ludicrous (not sensible),88.3,29,18.5,401,Homer Simpson
self-destructive (not self-improving),88.3,40,13.1,57,Homer Simpson
bold (not shy),88.2,381,14.1,426,Homer Simpson
scruffy (not manicured),88.1,65,13.6,403,Homer Simpson
main character (not side character),88.1,233,21.8,41,Homer Simpson
leisurely (not hurried),87.9,15,20.8,420,Homer Simpson
blue-collar (not ivory-tower),87.7,37,21.9,405,Homer Simpson
expressive (not stoic),87.3,105,16.9,426,Homer Simpson
gregarious (not private),87.2,29,12.8,390,Homer Simpson
lowbrow (not highbrow),87.1,6,21.2,361,Homer Simpson
dunce (not genius),86.9,12,19.7,524,Homer Simpson
scandalous (not proper),86.9,95,14,366,Homer Simpson
low-tech (not high-tech),86.7,28,15.1,374,Homer Simpson
lenient (not strict),86.3,44,18.9,465,Homer Simpson
experimental (not reliable),86.3,43,18,49,Homer Simpson
bold (not serious),85.9,69,14.6,407,Homer Simpson
unobservant (not perceptive),85.8,6,22.4,48,Homer Simpson
open-book (not secretive),85.6,33,18.6,50,Homer Simpson
disreputable (not prestigious),85.2,27,15.2,334,Homer Simpson
gullible (not cynical),85.2,39,23.7,37,Homer Simpson
focused on the present (not focused on the future),85.1,15,22.4,441,Homer Simpson
funny (not humorless),85,161,18.7,423,Homer Simpson
unprepared (not hoarder),84.9,5,22.4,368,Homer Simpson
deranged (not reasonable),84.8,79,16.9,126,Homer Simpson
unambiguous (not mysterious),84.7,18,20.6,375,Homer Simpson
fantastical (not realistic),84.7,84,22.2,74,Homer Simpson
vague (not precise),84.6,6,16.7,257,Homer Simpson
rugged (not refined),84.5,85,17.8,473,Homer Simpson
extrovert (not introvert),84,193,19.4,412,Homer Simpson
👨‍🔧 (not 👨‍⚕️),84,119,18.8,151,Homer Simpson
doer (not thinker),83.9,104,22.4,65,Homer Simpson
codependent (not independent),83.5,50,22.2,425,Homer Simpson
head@clouds (not down2earth),83.4,108,24,404,Homer Simpson
open (not guarded),83.4,33,18.9,413,Homer Simpson
physical (not intellectual),83.3,78,18.8,375,Homer Simpson
🤡 (not 👽),83.3,16,23.7,128,Homer Simpson
underachiever (not overachiever),83.3,23,25.5,56,Homer Simpson
crazy (not sane),83.2,127,18,120,Homer Simpson
💃 (not 🧕),83,242,22.8,191,Homer Simpson
gendered (not androgynous),82.5,435,26.7,133,Homer Simpson
crafty (not scholarly),82.3,126,15.3,370,Homer Simpson
indiscreet (not tactful),82.2,22,25.5,112,Homer Simpson
